Name,Dist_ID,District,Prov_ID,Province,Sect_ID,NO2_mean,CO_mean,SO2_mean,O3_mean
Kibumbwe,25,Nyamagabe,2,Southern Province,2508,4.263520371671945e-05,0.029258290568145294,9.495615451267427e-06,0.11861509428719161
Kitabi,25,Nyamagabe,2,Southern Province,2509,4.026374811463665e-05,0.027139991875082387,3.216800838232671e-05,0.11844039009930325
Mbazi,25,Nyamagabe,2,Southern Province,2510,4.183372713561673e-05,0.03014791854351068,1.1669166508822057e-05,0.11863752934113544
Mugano,25,Nyamagabe,2,Southern Province,2511,4.226177648107965e-05,0.030053613458234877,-8.469808426168027e-06,0.1186810325085178
Musange,25,Nyamagabe,2,Southern Province,2512,4.163253933456947e-05,0.030881441615984537,-1.3453541032317449e-05,0.11858126579784392
Musebeya,25,Nyamagabe,2,Southern Province,2513,4.180893250264487e-05,0.0282736650163161,2.2481215120797735e-05,0.1185173285566113
Mushubi,25,Nyamagabe,2,Southern Province,2514,4.150565103840139e-05,0.029063364300576332,1.9294207951938366e-05,0.11851294361092295
Nkomane,25,Nyamagabe,2,Southern Province,2515,4.138199351665996e-05,0.027468685925392942,2.0628619654399826e-05,0.1184368900315294
Tare,25,Nyamagabe,2,Southern Province,2516,4.153681359541207e-05,0.028454912643490815,3.361506487718784e-05,0.11865549342457368
Uwinkingi,25,Nyamagabe,2,Southern Province,2517,4.0274786351120315e-05,0.027122368154933768,1.3532543241073231e-05,0.11845026453156408
Bweramana,26,Ruhango,2,Southern Province,2601,4.1409203095655835e-05,0.03085190918020073,2.0686012122669704e-05,0.118549299915656
Byimana,26,Ruhango,2,Southern Province,2602,4.1982432655766566e-05,0.030535661341012557,1.3828363436174715e-05,0.11850178464006518
Kabagali,26,Ruhango,2,Southern Province,2603,4.203030544107307e-05,0.03097086729203141,2.4628650242927606e-05,0.11857046664246942
Kinazi,26,Ruhango,2,Southern Province,2604,4.329492088870418e-05,0.032068193437946764,5.686518011273122e-06,0.11854778774997783
Kinihira,26,Ruhango,2,Southern Province,2605,4.167554922786731e-05,0.031109976671493494,1.4603500274838026e-05,0.11856106176662197
Mbuye,26,Ruhango,2,Southern Province,2606,4.1867476840243165e-05,0.031487287377035024,3.276130161274103e-05,0.11850901182219108
Mwendo,26,Ruhango,2,Southern Province,2607,4.14502733810262e-05,0.030811022397281257,5.115085390341385e-06,0.11850845131564365
Ntongwe,26,Ruhango,2,Southern Province,2608,4.246523909302313e-05,0.032027264065728644,2.776477736639617e-05,0.11861909383490403
Ruhango,26,Ruhango,2,Southern Province,2609,4.195192407220848e-05,0.031188120725478895,8.715138892879827e-06,0.11853244458971635
Cyeza,27,Muhanga,2,Southern Province,2701,4.204692118293589e-05,0.030735298253702473,2.921721143909561e-05,0.1184149826463523
Kabacuzi,27,Muhanga,2,Southern Province,2702,4.1935710695593376e-05,0.031040652438560763,8.775981108003933e-07,0.11851130184151246
Kibangu,27,Muhanga,2,Southern Province,2703,4.0641296123740986e-05,0.030381241754558176,4.895340696525834e-06,0.11864376516993218
Kiyumba,27,Muhanga,2,Southern Province,2704,4.226320005365351e-05,0.031267269959436156,8.737687579543495e-06,0.11852227678579137
Muhanga,27,Muhanga,2,Southern Province,2705,4.168807050591603e-05,0.030458348797861926,1.2430655983775554e-05,0.11846532364469764
Mushishiro,27,Muhanga,2,Southern Province,2706,4.140086108107837e-05,0.030854506543489292,1.6413699295317623e-05,0.11851722948052168
Nyabinoni,27,Muhanga,2,Southern Province,2707,4.1055402828070704e-05,0.030512263833477365,5.932528368013739e-06,0.1187149185456458
Nyamabuye,27,Muhanga,2,Southern Province,2708,4.1855132436046204e-05,0.03026412235742197,-2.8086207923467762e-08,0.11848226015466458
Nyarusange,27,Muhanga,2,Southern Province,2709,4.151926756343609e-05,0.031022775337402986,2.9069577053049932e-05,0.11846907357803943
Rongi,27,Muhanga,2,Southern Province,2710,4.093315014939274e-05,0.0307275026407713,1.0827386313823177e-05,0.11863896350583616
Rugendabari,27,Muhanga,2,Southern Province,2711,4.1272432428618074e-05,0.030722047731427917,2.5335484229235665e-05,0.11857815262680606
Shyogwe,27,Muhanga,2,Southern Province,2712,4.194786976248609e-05,0.030553690776231168,-2.6623656374779662e-05,0.11850133220976203
Gacurabwenge,28,Kamonyi,2,Southern Province,2801,4.314741716711689e-05,0.031783432187231585,1.2197781414810811e-05,0.1185369197117653
Karama,28,Kamonyi,2,Southern Province,2802,4.191195617461814e-05,0.031699766692423435,1.714802362295837e-05,0.11850839671613048
Kayenzi,28,Kamonyi,2,Southern Province,2803,4.2320579733770966e-05,0.03186113534988779,2.144504893442786e-05,0.11852284926147538
Kayumbu,28,Kamonyi,2,Southern Province,2804,4.248123774147193e-05,0.03155216227545559,1.0129604383143713e-05,0.11845634216122693
Mugina,28,Kamonyi,2,Southern Province,2805,4.319269712628642e-05,0.03213273445849022,4.390590461515257e-06,0.11855753921748631
Musambira,28,Kamonyi,2,Southern Province,2806,4.261085228674701e-05,0.031347767715198635,-3.3377975418653504e-06,0.11841232104556042
Ngamba,28,Kamonyi,2,Southern Province,2807,4.261041635350766e-05,0.03177331645434256,3.6370277154844674e-05,0.1184622181735779
Nyamiyaga,28,Kamonyi,2,Southern Province,2808,4.2780187282525534e-05,0.03190276959050907,1.976703205482375e-06,0.11849027213114471
Nyarubaka,28,Kamonyi,2,Southern Province,2809,4.194182461265016e-05,0.03106823400140736,1.2882918826004007e-05,0.11847519510426142
Rugarika,28,Kamonyi,2,Southern Province,2810,4.329328756070588e-05,0.032138223856985615,1.8050796076440853e-05,0.11853670115496001
Rukoma,28,Kamonyi,2,Southern Province,2811,4.2269329497959846e-05,0.031727508529119965,3.080378453987026e-05,0.11847252154038666
Runda,28,Kamonyi,2,Southern Province,2812,4.4686582798238744e-05,0.032221500873449035,1.2085708126916913e-05,0.11851224914588397
