system:index,NO2_column_number_density,month,sector,year,.geo
0_0000000000000000007b,3.91E-05,1,Shyogwe,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c,3.54E-05,1,Gacurabwenge,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007d,3.67E-05,1,Karama,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007e,3.85E-05,1,Kayenzi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007f,3.68E-05,1,Kayumbu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000080,3.94E-05,1,Mugina,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000081,3.59E-05,1,Musambira,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000082,3.79E-05,1,Ngamba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000083,3.83E-05,1,Nyamiyaga,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000084,3.87E-05,1,Nyarubaka,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000085,3.88E-05,1,Rugarika,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000086,3.78E-05,1,Rukoma,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000087,3.98E-05,1,Runda,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000088,3.58E-05,1,Bwishyura,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000089,3.70E-05,1,Gashari,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008a,3.77E-05,1,Gishyita,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008b,3.54E-05,1,Gitesi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008c,3.77E-05,1,Mubuga,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008d,3.81E-05,1,Murambi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008e,3.76E-05,1,Murundi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008f,3.58E-05,1,Mutuntu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000090,3.37E-05,1,Rubengera,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000091,3.53E-05,1,Rugabano,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000092,3.60E-05,1,Ruganda,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000093,3.56E-05,1,Rwankuba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000094,3.56E-05,1,Twumba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000095,3.25E-05,1,Boneza,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000096,3.31E-05,1,Gihango,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000097,3.23E-05,1,Kigeyo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000098,3.46E-05,1,Kivumu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000099,3.40E-05,1,Manihira,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009a,3.39E-05,1,Mukura,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009b,3.23E-05,1,Murunda,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009c,3.36E-05,1,Musasa,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009d,3.10E-05,1,Mushonyi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009e,3.45E-05,1,Mushubati,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009f,3.33E-05,1,Nyabirasi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a0,3.19E-05,1,Ruhango,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a1,3.44E-05,1,Rusebeya,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a2,3.36E-05,1,Bugeshi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a3,3.34E-05,1,Busasamana,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a4,3.51E-05,1,Cyanzarwe,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a5,3.66E-05,1,Gisenyi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a6,3.23E-05,1,Kanama,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a7,3.42E-05,1,Kanzenze,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a8,3.28E-05,1,Mudende,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a9,3.33E-05,1,Nyakiriba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000aa,3.60E-05,1,Nyamyumba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ab,3.43E-05,1,Nyundo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ac,3.54E-05,1,Rubavu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
