Prov_ID,Province,Dist_ID,District,Sect_ID,Name,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_score,poor_population,severely_poor_population
2.0,Southern Province,23.0,Nyaruguru,2309.0,Ngoma,ngoma,Ngoma,79.4,10.5,8.3,1.8,100,22160,Huye,10.100000000000001,5.416666666666667,2238.1600000000003,398.88
2.0,Southern Province,23.0,Nyaruguru,2309.0,Ngoma,ngoma,Ngoma,42.9,29.6,24.3,3.2,100,12980,Rulindo,27.5,14.633333333333335,3569.5,415.36
2.0,Southern Province,23.0,Nyaruguru,2310.0,Nyabimata,nyabimata,Nyabimata,31.3,23.2,36.2,9.3,100,17166,Nyaruguru,45.5,20.583333333333336,7810.53,1596.438
2.0,Southern Province,23.0,Nyaruguru,2311.0,Nyagisozi,nyagisozi,Nyagisozi,30.4,29.2,32.1,8.2,100,28846,Nyanza,40.3,19.666666666666668,11624.937999999998,2365.372
2.0,Southern Province,23.0,Nyaruguru,2311.0,Nyagisozi,nyagisozi,Nyagisozi,48.1,18.7,28.5,4.8,100,18554,Nyaruguru,33.3,15.016666666666667,6178.482,890.592
2.0,Southern Province,23.0,Nyaruguru,2312.0,Ruheru,ruheru,Ruheru,33.0,24.0,32.7,10.3,100,24408,Nyaruguru,43.0,20.05,10495.44,2514.0240000000003
2.0,Southern Province,23.0,Nyaruguru,2313.0,Ruramba,ruramba,Ruramba,37.9,27.1,28.8,6.2,100,17294,Nyaruguru,35.0,17.21666666666667,6052.9,1072.228
2.0,Southern Province,23.0,Nyaruguru,2314.0,Rusenge,rusenge,Rusenge,27.9,28.8,33.3,10.0,100,25099,Nyaruguru,43.3,20.9,10867.867,2509.9
2.0,Southern Province,24.0,Huye,2401.0,Gishamvu,gishamvu,Gishamvu,40.8,22.9,29.3,7.1,100,14967,Huye,36.4,17.133333333333336,5447.987999999999,1062.657
2.0,Southern Province,24.0,Huye,2402.0,Huye,huye,Huye,48.8,22.0,22.0,7.2,100,29738,Huye,29.2,14.6,8683.496,2141.136
2.0,Southern Province,24.0,Huye,2403.0,Karama,karama,Karama,38.5,30.3,26.1,5.2,100,17802,Huye,31.3,16.35,5572.026,925.7040000000001
2.0,Southern Province,24.0,Huye,2403.0,Karama,karama,Karama,50.3,25.5,21.6,2.7,100,21261,Kamonyi,24.3,12.800000000000002,5166.423,574.047
2.0,Southern Province,24.0,Huye,2403.0,Karama,karama,Karama,34.2,26.6,31.1,8.1,100,33037,Nyagatare,39.2,18.849999999999998,12950.504,2675.9970000000003
2.0,Southern Province,24.0,Huye,2404.0,Kigoma,kigoma,Kigoma,36.3,22.5,30.2,10.9,100,42249,Nyanza,41.1,19.266666666666666,17364.339,4605.1410000000005
2.0,Southern Province,24.0,Huye,2404.0,Kigoma,kigoma,Kigoma,42.1,26.0,27.0,4.9,100,26579,Huye,31.9,15.783333333333333,8478.701,1302.371
2.0,Southern Province,24.0,Huye,2405.0,Kinazi,kinazi,Kinazi,38.5,23.3,28.9,9.2,100,34192,Huye,38.099999999999994,18.116666666666664,13027.151999999996,3145.6639999999998
2.0,Southern Province,24.0,Huye,2405.0,Kinazi,kinazi,Kinazi,31.7,23.8,31.2,13.4,100,52274,Ruhango,44.6,21.066666666666666,23314.203999999998,7004.715999999999
2.0,Southern Province,24.0,Huye,2406.0,Maraba,maraba,Maraba,40.6,26.9,26.5,6.1,100,27614,Huye,32.6,16.366666666666664,9002.164,1684.454
2.0,Southern Province,24.0,Huye,2407.0,Mbazi,mbazi,Mbazi,47.5,23.3,23.4,5.8,100,37487,Huye,29.2,14.58333333333333,10946.204,2174.246
2.0,Southern Province,24.0,Huye,2407.0,Mbazi,mbazi,Mbazi,47.7,23.5,25.4,3.5,100,13131,Nyamagabe,28.9,14.133333333333333,3794.8589999999995,459.585
2.0,Southern Province,24.0,Huye,2408.0,Mukura,mukura,Mukura,46.0,18.2,26.6,9.2,100,27958,Huye,35.8,16.5,10008.964,2572.136
2.0,Southern Province,24.0,Huye,2408.0,Mukura,mukura,Mukura,21.1,32.9,34.0,12.1,100,36563,Rutsiro,46.1,22.866666666666664,16855.543,4424.123
2.0,Southern Province,24.0,Huye,2409.0,Ngoma,ngoma,Ngoma,44.2,19.3,30.5,6.0,100,23800,Nyaruguru,36.5,16.383333333333333,8687.0,1428.0
2.0,Southern Province,24.0,Huye,2409.0,Ngoma,ngoma,Ngoma,79.4,10.5,8.3,1.8,100,22160,Huye,10.100000000000001,5.416666666666667,2238.1600000000003,398.88
2.0,Southern Province,24.0,Huye,2409.0,Ngoma,ngoma,Ngoma,42.9,29.6,24.3,3.2,100,12980,Rulindo,27.5,14.633333333333335,3569.5,415.36
2.0,Southern Province,24.0,Huye,2410.0,Ruhashya,ruhashya,Ruhashya,35.2,25.7,31.0,8.1,100,25967,Huye,39.1,18.666666666666668,10153.097000000002,2103.3269999999998
2.0,Southern Province,24.0,Huye,2411.0,Rusatira,rusatira,Rusatira,38.0,22.8,28.8,10.5,100,31725,Huye,39.3,18.65,12467.925,3331.125
2.0,Southern Province,24.0,Huye,2412.0,Rwaniro,rwaniro,Rwaniro,27.5,30.5,33.8,8.2,100,24136,Huye,42.0,20.45,10137.12,1979.1519999999998
2.0,Southern Province,24.0,Huye,2413.0,Simbi,simbi,Simbi,38.9,27.3,28.0,5.9,100,24196,Huye,33.9,16.833333333333332,8202.444,1427.5639999999999
2.0,Southern Province,24.0,Huye,2414.0,Tumba,tumba,Tumba,68.8,13.9,12.5,4.8,100,39494,Huye,17.3,8.883333333333333,6832.462,1895.7119999999998
2.0,Southern Province,24.0,Huye,2414.0,Tumba,tumba,Tumba,46.1,31.0,21.0,1.9,100,21093,Rulindo,22.9,13.116666666666667,4830.297,400.767
2.0,Southern Province,25.0,Nyamagabe,2501.0,Buruhukiro,buruhukiro,Buruhukiro,23.1,29.0,35.4,12.6,100,27259,Nyamagabe,48.0,22.933333333333334,13084.32,3434.6339999999996
