sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poor_percent,avg_deprivation_intensity,poverty_index
  Shyira,36.0,31.9,27.7,4.5,100,22144,Nyabihu,0.322,0.408,0.131
  Bwira,30.9,31.9,32.6,4.6,100,20477,Ngororero,0.372,0.407,0.151
  Gatumba,42.3,29.0,25.7,3.0,100,26279,Ngororero,0.287,0.399,0.115
  Hindiro,33.8,31.9,29.2,5.1,100,25911,Ngororero,0.343,0.41,0.141
  Kabaya,37.2,31.9,26.6,4.3,100,34944,Ngororero,0.31,0.41,0.127
  Kageyo,35.0,31.4,28.9,4.7,100,26231,Ngororero,0.336,0.408,0.137
  Kavumu,21.4,32.8,34.1,11.8,100,32141,Ngororero,0.458,0.444,0.203
  Matyazo,22.0,35.9,34.3,7.9,100,27471,Ngororero,0.422,0.424,0.179
  Muhanda,14.5,23.5,40.5,21.5,100,30793,Ngororero,0.62,0.468,0.291
  Muhororo,40.7,29.2,26.9,3.2,100,23020,Ngororero,0.301,0.4,0.12
  Ndaro,29.0,32.0,33.8,5.3,100,25395,Ngororero,0.391,0.413,0.161
  Ngororero,40.3,29.4,26.4,3.9,100,41062,Ngororero,0.302,0.405,0.122
  Nyange,32.3,34.1,28.8,4.8,100,25927,Ngororero,0.336,0.414,0.139
  Sovu,13.8,35.6,37.0,13.6,100,30713,Ngororero,0.506,0.457,0.232
  Bugarama,41.8,20.2,26.1,11.9,100,36595,Rusizi,0.38,0.433,0.165
  Butare,17.8,32.6,34.5,15.1,100,21932,Rusizi,0.496,0.462,0.229
  Bweyeye,25.3,28.3,33.6,12.8,100,14403,Rusizi,0.464,0.442,0.205
  Gashonga,42.4,22.1,28.6,6.8,100,24755,Rusizi,0.354,0.413,0.146
  Giheke,43.5,25.6,26.3,4.7,100,18782,Rusizi,0.309,0.406,0.126
  Gihundwe,65.2,17.3,13.9,3.5,100,35496,Rusizi,0.174,0.411,0.072
  Gikundamvura,30.5,21.8,35.2,12.5,100,19285,Rusizi,0.477,0.432,0.206
  Gitambi,38.6,27.7,28.4,5.2,100,21772,Rusizi,0.337,0.405,0.136
  Kamembe,74.5,14.6,9.0,1.8,100,30657,Rusizi,0.108,0.405,0.044
  Muganza,48.4,18.3,25.4,8.0,100,29446,Rusizi,0.334,0.412,0.137
  Mururu,48.3,22.9,22.7,6.0,100,26055,Rusizi,0.287,0.415,0.119
  Nkanka,36.0,28.1,30.1,5.8,100,16586,Rusizi,0.359,0.412,0.148
  Nkombo,16.8,27.8,36.9,18.6,100,13627,Rusizi,0.554,0.461,0.255
  Nkungu,37.2,26.2,31.2,5.4,100,19797,Rusizi,0.366,0.406,0.148
  Nyakabuye,38.7,24.4,29.5,7.3,100,29518,Rusizi,0.368,0.416,0.153
  Nyakarenzo,42.9,24.1,27.6,5.4,100,16482,Rusizi,0.33,0.403,0.133
  Nzahaha,38.5,21.7,31.4,8.4,100,25703,Rusizi,0.398,0.412,0.164
  Rwimbogo,46.1,21.8,26.8,5.3,100,18710,Rusizi,0.321,0.405,0.13
  Bushekeri,36.1,25.5,30.1,8.4,100,25151,Nyamasheke,0.385,0.426,0.164
  Bushenge,52.9,23.3,21.3,2.5,100,19441,Nyamasheke,0.239,0.39,0.093
  Cyato,32.1,27.0,34.1,6.8,100,23640,Nyamasheke,0.409,0.413,0.169
  Gihombo,30.6,30.9,29.7,8.9,100,26995,Nyamasheke,0.385,0.434,0.167
  Kagano,40.8,24.7,27.9,6.6,100,35272,Nyamasheke,0.345,0.42,0.145
  Kanjongo,44.3,24.5,25.1,6.2,100,36335,Nyamasheke,0.313,0.424,0.133
  Karambi,41.7,27.7,27.1,3.5,100,26999,Nyamasheke,0.306,0.403,0.123
  Karengera,42.8,26.1,27.1,4.0,100,27842,Nyamasheke,0.311,0.396,0.123
  Kirimbi,36.6,29.3,29.2,4.8,100,22628,Nyamasheke,0.34,0.413,0.14
  Macuba,42.6,28.6,23.9,4.9,100,29370,Nyamasheke,0.288,0.416,0.12
  Mahembe,38.0,28.2,28.6,5.2,100,18893,Nyamasheke,0.338,0.413,0.14
  Nyabitekeri,43.5,27.1,25.3,4.1,100,24855,Nyamasheke,0.293,0.403,0.118
  Rangiro,39.6,29.0,27.2,4.2,100,15863,Nyamasheke,0.315,0.401,0.126
  Ruharambuga,49.2,25.4,21.9,3.5,100,24076,Nyamasheke,0.254,0.405,0.103
  Shangi,47.2,23.4,24.4,5.1,100,23424,Nyamasheke,0.294,0.406,0.12
  Base,48.5,27.1,22.3,2.2,100,20937,Rulindo,0.244,0.396,0.097
  Burega,44.4,24.4,26.2,5.0,100,14883,Rulindo,0.312,0.407,0.127
  Bushoki,58.9,23.7,16.0,1.3,100,23720,Rulindo,0.173,0.389,0.067
  Buyoga,43.5,27.9,24.8,3.8,100,25351,Rulindo,0.286,0.403,0.115
  Cyinzuzi,39.6,27.0,29.0,4.4,100,15990,Rulindo,0.334,0.406,0.136
  Cyungo,38.7,27.4,29.2,4.7,100,15167,Rulindo,0.34,0.407,0.138
  Kinihira,44.4,29.9,23.2,2.5,100,17434,Rulindo,0.257,0.399,0.103
  Kisaro,36.1,31.2,28.1,4.5,100,23376,Rulindo,0.327,0.409,0.134
  Masoro,50.4,22.0,22.5,5.2,100,27678,Rulindo,0.276,0.418,0.115
  Mbogo,51.1,26.5,20.4,2.0,100,19465,Rulindo,0.224,0.391,0.088
  Murambi,53.5,21.8,20.1,4.6,100,27315,Rulindo,0.247,0.414,0.102
  Ngoma,42.9,29.6,24.3,3.2,100,12980,Rulindo,0.275,0.404,0.111
  Ntarabana,47.8,22.6,24.3,5.3,100,25455,Rulindo,0.296,0.413,0.122
  Rukozo,40.6,29.1,26.2,4.1,100,17066,Rulindo,0.303,0.405,0.123
  Rusiga,48.4,27.6,22.4,1.6,100,13835,Rulindo,0.24,0.393,0.094
  Shyorongi,61.7,20.0,15.3,3.1,100,45764,Rulindo,0.184,0.412,0.076
  Tumba,46.1,31.0,21.0,1.9,100,21093,Rulindo,0.229,0.396,0.091
  Busengo,37.8,32.7,26.7,2.7,100,21365,Gakende,0.294,0.398,0.117
  Coko,49.0,28.3,21.1,1.6,100,18386,Gakende,0.227,0.391,0.089
  Cyabingo,38.6,28.4,30.0,2.9,100,19289,Gakende,0.329,0.391,0.129
  Gakenke,43.6,29.4,24.2,2.7,100,25527,Gakende,0.269,0.4,0.108
  Gashenyi,40.1,28.3,28.9,2.7,100,23528,Gakende,0.316,0.394,0.125
  Janja,29.6,38.2,28.2,4.0,100,15743,Gakende,0.322,0.405,0.13
  Kamubuga,32.6,27.1,32.8,7.5,100,22768,Gakende,0.404,0.415,0.168
  Karambo,37.3,28.4,31.1,3.3,100,14483,Gakende,0.343,0.387,0.133
  Kivuruga,48.4,23.8,25.3,2.5,100,19357,Gakende,0.278,0.387,0.108
  Mataba,22.3,32.8,37.7,7.2,100,16334,Gakende,0.449,0.425,0.191
  Minazi,38.5,30.9,27.6,3.0,100,14455,Gakende,0.307,0.401,0.123
  Mugunga,36.8,32.4,25.5,5.4,100,20833,Gakende,0.309,0.413,0.127
  Muhondo,59.8,22.0,17.2,1.0,100,22312,Gakende,0.181,0.376,0.068
  Muyongwe,41.1,30.0,26.6,2.4,100,16754,Gakende,0.29,0.4,0.116
  Muzo,22.7,38.3,33.4,5.7,100,22140,Gakende,0.391,0.421,0.164
  Nemba,37.7,32.0,27.3,3.0,100,17454,Gakende,0.303,0.403,0.122
  Ruli,63.9,21.4,12.9,1.8,100,24995,Gakende,0.147,0.397,0.059
  Rusasa,28.9,34.9,32.1,4.1,100,18945,Gakende,0.362,0.405,0.147
  Rushashi,49.2,28.6,20.9,1.3,100,19637,Gakende,0.222,0.39,0.087
  Busogo,59.9,17.8,19.0,3.3,100,27750,Musanze,0.223,0.4,0.089
  Cyuve,60.7,16.5,18.2,4.6,100,61755,Musanze,0.229,0.419,0.096
  Gacaca,39.7,22.3,30.7,7.3,100,29526,Musanze,0.38,0.418,0.159
  Gashaki,51.7,22.9,23.2,2.2,100,13835,Musanze,0.254,0.383,0.097
  Gataraga,31.8,32.7,28.5,7.0,100,25323,Musanze,0.355,0.43,0.153
  Kimonyi,41.3,21.8,27.5,9.3,100,22508,Musanze,0.368,0.439,0.162
  Kinigi,43.2,26.0,26.4,4.4,100,32793,Musanze,0.308,0.407,0.125
  Muhoza,78.9,10.8,8.7,1.7,100,67577,Musanze,0.103,0.406,0.042
  Muko,45.6,22.5,25.7,6.2,100,27738,Musanze,0.319,0.413,0.132
  Musanze,43.6,24.8,25.0,6.5,100,49323,Musanze,0.316,0.44,0.139
  Nkotsi,43.3,27.8,25.5,3.4,100,18218,Musanze,0.289,0.4,0.116
  Nyange,40.0,25.2,28.6,6.2,100,32685,Musanze,0.348,0.416,0.145
  Remera,51.1,23.5,23.3,2.1,100,19805,Musanze,0.254,0.384,0.098
  Rwaza,39.8,26.7,28.8,4.8,100,24168,Musanze,0.335,0.402,0.135
  Shingiro,24.7,31.1,33.6,10.6,100,24380,Musanze,0.442,0.437,0.193
  Bungwe,38.9,27.4,30.3,3.3,100,15819,Burera,0.337,0.391,0.132
  Butaro,42.2,25.5,27.9,4.4,100,34896,Burera,0.323,0.4,0.129
  Cyanika,36.1,25.1,32.6,6.1,100,40938,Burera,0.387,0.413,0.16
  Cyeru,41.6,26.9,27.5,4.0,100,14231,Burera,0.315,0.401,0.126
  Gahunga,34.4,28.0,31.5,6.1,100,26599,Burera,0.377,0.42,0.158
  Gatebe,31.1,28.7,33.5,6.6,100,18694,Burera,0.401,0.42,0.168
  Gitovu,36.2,32.9,27.1,3.8,100,11000,Burera,0.309,0.402,0.124
  Kagogo,33.1,28.2,32.3,6.4,100,21153,Burera,0.387,0.411,0.159
  Kinoni,43.0,26.6,26.5,3.8,100,18606,Burera,0.304,0.404,0.123
  Kinyababa,37.2,28.8,28.5,5.6,100,21804,Burera,0.34,0.413,0.141
  Kivuye,46.7,21.4,27.7,4.2,100,16462,Burera,0.32,0.393,0.126
  Nemba,39.0,27.3,29.1,4.5,100,21077,Burera,0.337,0.404,0.136
  Rugarama,38.0,29.9,28.5,3.6,100,25451,Burera,0.321,0.407,0.13
  Rugengabari,32.3,32.3,31.6,3.8,100,20121,Burera,0.354,0.403,0.143
  Ruhunde,35.3,31.6,28.7,4.4,100,20297,Burera,0.331,0.401,0.132
