sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district
  Mugunga,36.8,32.4,25.5,5.4,100,20833,Gakende
  Muhondo,59.8,22,17.2,1,100,22312,Gakende
  Muyongwe,41.1,30,26.6,2.4,100,16754,Gakende
  Muzo,22.7,38.3,33.4,5.7,100,22140,Gakende
  Nemba,37.7,32,27.3,3,100,17454,Gakende
  Ruli,63.9,21.4,12.9,1.8,100,24995,Gakende
  Rusasa,28.9,34.9,32.1,4.1,100,18945,Gakende
  Rushashi,49.2,28.6,20.9,1.3,100,19637,Gakende
  Busogo,59.9,17.8,19,3.3,100,27750,Musanze
  Cyuve,60.7,16.5,18.2,4.6,100,61755,Musanze
  Gacaca,39.7,22.3,30.7,7.3,100,29526,Musanze
  Gashaki,51.7,22.9,23.2,2.2,100,13835,Musanze
  Gataraga,31.8,32.7,28.5,7,100,25323,Musanze
  Kimonyi,41.3,21.8,27.5,9.3,100,22508,Musanze
  Kinigi,43.2,26,26.4,4.4,100,32793,Musanze
  Muhoza,78.9,10.8,8.7,1.7,100,67577,Musanze
  Muko,45.6,22.5,25.7,6.2,100,27738,Musanze
  Musanze,43.6,24.8,25,6.5,100,49323,Musanze
  Nkotsi,43.3,27.8,25.5,3.4,100,18218,Musanze
  Nyange,40,25.2,28.6,6.2,100,32685,Musanze
  Remera,51.1,23.5,23.3,2.1,100,19805,Musanze
  Rwaza,39.8,26.7,28.8,4.8,100,24168,Musanze
  Shingiro,24.7,31.1,33.6,10.6,100,24380,Musanze
  Bungwe,38.9,27.4,30.3,3.3,100,15819,Burera
  Butaro,42.2,25.5,27.9,4.4,100,34896,Burera
  Cyanika,36.1,25.1,32.6,6.1,100,40938,Burera
  Cyeru,41.6,26.9,27.5,4,100,14231,Burera
  Gahunga,34.4,28,31.5,6.1,100,26599,Burera
  Gatebe,31.1,28.7,33.5,6.6,100,18694,Burera
  Gitovu,36.2,32.9,27.1,3.8,100,11000,Burera
  Kagogo,33.1,28.2,32.3,6.4,100,21153,Burera
  Kinoni,43,26.6,26.5,3.8,100,18606,Burera
  Kinyababa,37.2,28.8,28.5,5.6,100,21804,Burera
  Kivuye,46.7,21.4,27.7,4.2,100,16462,Burera
  Nemba,39,27.3,29.1,4.5,100,21077,Burera
  Rugarama,38,29.9,28.5,3.6,100,25451,Burera
  Rugengabari,32.3,32.3,31.6,3.8,100,20121,Burera
  Ruhunde,35.3,31.6,28.7,4.4,100,20297,Burera
  Rusarabuye,44.4,26,26.2,3.4,100,19473,Burera
