sector,district,count,area_sqkm,population_density,non_poor,vulnerable,moderately_poor,severely_poor,poverty_rate,poverty_index,urban_rural_class,distance_to_major_road_km,road_density_km_per_sqkm,vulnerability_index,vulnerability_category
Simbi,Huye,24196,42.950327715938464,563.3484372930894,38.9,27.3,28.0,5.9,33.9,20.11,Urban,,4.436933633137831,,
Tumba,Huye,39494,17.925404619727512,2203.24175871241,68.8,13.9,12.5,4.8,17.3,15.330000000000002,Urban,0.6645469777804491,7.86926699340934,0.3393158233757134,Very Low
Tumba,Rulindo,21093,17.925404619727512,1176.7098398875996,46.1,31.0,21.0,1.9,22.9,17.869999999999997,Urban,0.6645469777804491,7.86926699340934,0.3742372766721661,Low
Buruhukiro,Nyamagabe,27259,156.80880850047382,173.8358977449767,23.1,29.0,35.4,12.6,48.0,23.77,Peri-urban,,1.0888810370295572,,
Cyanika,Nyamagabe,27403,53.731616522987935,509.99768429219336,40.6,27.7,27.3,4.5,31.8,19.59,Urban,,3.8880015487934716,,
Cyanika,Burera,40938,53.731616522987935,761.897792196249,36.1,25.1,32.6,6.1,38.7,20.85,Urban,,3.8880015487934716,,
Gasaka,Nyamagabe,36379,40.42042967511407,900.0151728322105,60.5,20.5,16.4,2.6,19.0,16.11,Urban,,4.524248246830352,,
Gatare,Nyamagabe,17838,64.26576676235247,277.56612732814506,24.0,28.8,36.1,11.1,47.2,23.43,Urban,,2.928804127698747,,
Kaduha,Nyamagabe,23844,74.71643710736086,319.1265660290827,27.0,26.9,34.8,11.3,46.099999999999994,23.04,Urban,0.4552758759452874,2.600521753117402,0.560831048205306,Very High
Kamegeri,Nyamagabe,14967,32.68055306662011,457.97878541068155,28.4,32.1,31.7,7.9,39.6,21.93,Urban,,3.9803122234076787,,
Kibirizi,Gisagara,34480,49.210845033541105,700.6585637068239,36.8,22.0,32.1,9.1,41.2,21.35,Urban,,3.8769082623032793,,
Kibirizi,Nyamagabe,22044,49.210845033541105,447.9500399754416,34.2,33.5,27.8,4.6,32.4,20.3,Urban,,3.8769082623032793,,
Kibumbwe,Nyamagabe,14131,48.93954127485224,288.74402235685164,27.0,32.3,30.9,9.8,40.7,22.349999999999998,Urban,3.211592644718778,2.8639846780762834,0.44244801431809494,Moderate
Kitabi,Nyamagabe,26391,96.2272194020393,274.2571193888276,27.7,28.8,33.9,9.6,43.5,22.54,Urban,,2.2626010599254847,,
Mbazi,Huye,37487,33.458169031455554,1120.4139701953432,47.5,23.3,23.4,5.8,29.2,18.75,Urban,,2.5805875111637895,,
Mbazi,Nyamagabe,13131,33.458169031455554,392.4602086759424,47.7,23.5,25.4,3.5,28.9,18.49,Urban,,2.5805875111637895,,
Mugano,Nyamagabe,20993,74.28205674287666,282.6119916505023,24.4,28.6,35.8,11.2,47.0,23.38,Urban,,2.032071988520934,,
Musange,Nyamagabe,21261,62.92731043825269,337.8660211588467,42.1,26.9,26.0,4.9,30.9,19.349999999999998,Urban,0.8425709759770821,2.8827675881265344,0.4260721525325424,Moderate
Musebeya,Nyamagabe,20453,53.07794267240406,385.33897453854763,25.4,30.7,33.7,10.1,43.800000000000004,22.830000000000002,Urban,1.516386977160242,3.0217928678666515,0.5142773541944932,Very High
Mushubi,Nyamagabe,14279,36.274691832961636,393.63532199672983,29.7,27.6,35.4,7.4,42.8,22.07,Urban,,3.2580799043592577,,
Nkomane,Nyamagabe,18174,78.85804871636121,230.46474387628766,17.1,30.0,39.7,13.1,52.800000000000004,24.86,Urban,,2.3220685237990777,,
Tare,Nyamagabe,24364,44.569393174754566,546.6531685650253,33.1,29.5,29.2,8.2,37.4,21.249999999999996,Urban,,4.4573566310157755,,
Uwinkingi,Nyamagabe,25171,90.45785239961027,278.26218876835117,27.5,30.7,33.7,8.1,41.800000000000004,22.240000000000002,Urban,,2.9208504037337586,,
Bweramana,Ruhango,33764,55.32904868288409,610.240024069758,41.2,25.7,25.7,7.4,33.1,19.93,Urban,,3.779519847921277,,
Byimana,Ruhango,42413,61.51064813532978,689.5228921452269,51.8,23.9,20.2,4.2,24.4,17.7,Urban,0.06637124815146017,3.9120344199006247,0.3973363680806113,Low
Kabagali,Ruhango,27203,60.27402823474088,451.32208343627303,34.1,27.9,30.5,7.5,38.0,21.14,Urban,,3.625982162298312,,
Kinazi,Huye,34192,87.41256694534579,391.15657158745097,38.5,23.3,28.9,9.2,38.099999999999994,20.86,Urban,1.0899097502199226,3.2522870965929456,0.47903648195625537,High
Kinazi,Ruhango,52274,87.41256694534579,598.0147000222979,31.7,23.8,31.2,13.4,44.6,22.65,Urban,1.0899097502199226,3.2522870965929456,0.5345278057570254,Very High
Kinihira,Ruhango,27966,60.22278140448383,464.3757619258319,32.7,31.4,28.4,7.5,35.9,21.07,Urban,,2.855015877923314,,
Kinihira,Rulindo,17434,60.22278140448383,289.49177692251135,44.4,29.9,23.2,2.5,25.7,18.38,Urban,,2.855015877923314,,
Mbuye,Ruhango,47148,77.1778133192191,610.9009567942635,31.6,25.0,31.0,12.4,43.4,22.419999999999998,Urban,,3.0671192328609753,,
Mwendo,Ruhango,26967,56.172081706875396,480.0783446254097,40.8,27.1,27.5,4.6,32.1,19.590000000000003,Urban,,2.9790320469657594,,
Ntongwe,Ruhango,38339,73.21974541818781,523.6155873122796,28.8,25.6,33.0,12.6,45.6,22.940000000000005,Urban,2.469885734893205,2.753215936929589,0.5049821842947284,Very High
Ruhango,Ruhango,81828,94.49552378463488,865.9457794688192,47.6,22.8,23.0,6.7,29.7,18.9,Urban,0.07622844194336766,3.9012552110586856,0.4424021692707599,Moderate
Ruhango,Rutsiro,28330,94.49552378463488,299.80256064368734,28.4,31.4,29.8,10.4,40.2,22.220000000000002,Urban,0.07622844194336766,3.9012552110586856,0.5224120542132586,Very High
