Prov_ID,Province,Dist_ID,District,Sect_ID,Name,area_sqkm,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_index,population_density,poor_population,poor_population_density
2.0,Southern Province,22.0,Gisagara,2204.0,Kibirizi,39.94896415653787,kibirizi,Kibirizi,36.8,22.0,32.1,9.1,100,34480,Gisagara,41.2,21.35,863.1012274784391,14205.76,355.5977057211169
2.0,Southern Province,22.0,Gisagara,2204.0,Kibirizi,39.94896415653787,kibirizi,Kibirizi,34.2,33.5,27.8,4.6,100,22044,Nyamagabe,32.4,20.3,551.8040446210763,7142.255999999999,178.78451045722872
2.0,Southern Province,22.0,Gisagara,2205.0,Kigembe,45.04809713691372,kigembe,Kigembe,32.8,24.3,35.6,7.3,100,23360,Gisagara,42.9,21.74,518.5568644331958,10021.44,222.460894841841
2.0,Southern Province,22.0,Gisagara,2206.0,Mamba,80.12160035222719,mamba,Mamba,30.1,20.9,32.3,16.7,100,44880,Gisagara,49.0,23.56,560.1485717047643,21991.2,274.4728001353345
2.0,Southern Province,22.0,Gisagara,2207.0,Muganza,69.96086733045101,muganza,Muganza,29.8,21.4,34.8,14.0,100,36715,Gisagara,48.8,23.3,524.7933795128854,17916.92,256.099169202288
2.0,Southern Province,22.0,Gisagara,2207.0,Muganza,69.96086733045101,muganza,Muganza,35.9,23.4,33.3,7.4,100,19277,Nyaruguru,40.699999999999996,21.220000000000002,275.5397515149092,7845.738999999999,112.14467886656803
2.0,Southern Province,22.0,Gisagara,2207.0,Muganza,69.96086733045101,muganza,Muganza,48.4,18.3,25.4,8.0,100,29446,Rusizi,33.4,19.32,420.8924377811909,9834.964,140.57807421891775
2.0,Southern Province,22.0,Gisagara,2208.0,Mugombwa,49.83452075796243,mugombwa,Mugombwa,41.2,21.5,29.7,7.6,100,34760,Gisagara,37.3,20.369999999999997,697.5084634368865,12965.48,260.17065686195866
2.0,Southern Province,22.0,Gisagara,2209.0,Mukindo,51.1901865460256,mukindo,Mukindo,33.0,22.1,33.6,11.3,100,32209,Gisagara,44.900000000000006,22.32,629.2026299033033,14461.841,282.51198082658317
2.0,Southern Province,22.0,Gisagara,2210.0,Musha,49.83287138056681,musha,Musha,30.7,21.5,34.4,13.4,100,29634,Gisagara,47.8,23.049999999999997,594.6677199009707,14165.052,284.251170112664
2.0,Southern Province,22.0,Gisagara,2210.0,Musha,49.83287138056681,musha,Musha,40.7,23.1,27.6,8.5,100,27614,Rwamagana,36.1,20.369999999999997,554.1322270819128,9968.654,200.04173397657053
2.0,Southern Province,22.0,Gisagara,2211.0,Ndora,60.873062161403546,ndora,Ndora,30.7,22.7,33.1,13.5,100,31477,Gisagara,46.6,22.94,517.0924360029638,14668.282,240.96507517738112
2.0,Southern Province,22.0,Gisagara,2212.0,Nyanza,38.91352570645888,nyanza,Nyanza,26.3,22.8,40.0,10.9,100,20225,Gisagara,50.9,23.55,519.7421624698234,10294.525,264.5487606971401
2.0,Southern Province,22.0,Gisagara,2213.0,Save,41.06917691003312,save,Save,39.2,24.7,28.7,7.5,100,33173,Gisagara,36.2,20.47,807.7347172715288,12008.626,292.3999676522934
2.0,Southern Province,23.0,Nyaruguru,2301.0,Busanze,70.78780780212635,busanze,Busanze,32.0,26.6,31.8,9.6,100,26955,Nyaruguru,41.4,21.9,380.7859126722429,11159.37,157.64536784630857
2.0,Southern Province,23.0,Nyaruguru,2302.0,Cyahinda,53.24319727512127,cyahinda,Cyahinda,39.8,25.7,28.1,6.5,100,21972,Nyaruguru,34.6,20.15,412.6724375034248,7602.312000000001,142.784663376185
2.0,Southern Province,23.0,Nyaruguru,2303.0,Kibeho,78.53024591820592,kibeho,Kibeho,46.4,23.3,23.8,6.5,100,25307,Nyaruguru,30.3,19.04,322.2580001386828,7668.021,97.6441740420209
2.0,Southern Province,23.0,Nyaruguru,2304.0,Kivu,124.01875371043408,kivu,Kivu,37.1,24.6,31.0,7.3,100,17606,Nyaruguru,38.3,20.85,141.96240063101644,6743.097999999999,54.37159944167929
2.0,Southern Province,23.0,Nyaruguru,2305.0,Mata,62.161094825507774,mata,Mata,43.4,28.1,23.3,5.2,100,15687,Nyaruguru,28.5,19.03,252.36042003499023,4470.795,71.92271970997221
2.0,Southern Province,23.0,Nyaruguru,2306.0,Muganza,91.36422773950055,muganza,Muganza,29.8,21.4,34.8,14.0,100,36715,Gisagara,48.8,23.3,401.8531202899511,17916.92,196.1043227014961
2.0,Southern Province,23.0,Nyaruguru,2306.0,Muganza,91.36422773950055,muganza,Muganza,35.9,23.4,33.3,7.4,100,19277,Nyaruguru,40.699999999999996,21.220000000000002,210.99067410675167,7845.738999999999,85.8732043614479
2.0,Southern Province,23.0,Nyaruguru,2306.0,Muganza,91.36422773950055,muganza,Muganza,48.4,18.3,25.4,8.0,100,29446,Rusizi,33.4,19.32,322.29244123812884,9834.964,107.64567537353503
2.0,Southern Province,23.0,Nyaruguru,2307.0,Munini,46.96673226122922,munini,Munini,37.5,29.2,27.5,5.8,100,17990,Nyaruguru,33.3,20.16,383.03708037296536,5990.67,127.55134776419746
2.0,Southern Province,23.0,Nyaruguru,2308.0,Ngera,59.403979552772284,ngera,Ngera,35.9,23.0,33.0,8.1,100,24004,Nyaruguru,41.1,21.330000000000002,404.08067238451156,9865.644,166.07715635003424
2.0,Southern Province,23.0,Nyaruguru,2309.0,Ngoma,47.23078446456721,ngoma,Ngoma,44.2,19.3,30.5,6.0,100,23800,Nyaruguru,36.5,19.830000000000002,503.90863225773626,8687.0,183.92665077407375
2.0,Southern Province,23.0,Nyaruguru,2309.0,Ngoma,47.23078446456721,ngoma,Ngoma,79.4,10.5,8.3,1.8,100,22160,Huye,10.100000000000001,13.25,469.1855164214889,2238.1600000000003,47.38773715857038
2.0,Southern Province,23.0,Nyaruguru,2309.0,Ngoma,47.23078446456721,ngoma,Ngoma,42.9,29.6,24.3,3.2,100,12980,Rulindo,27.5,18.78,274.8207582649335,3569.5,75.5757085228567
2.0,Southern Province,23.0,Nyaruguru,2310.0,Nyabimata,127.1159664452556,nyabimata,Nyabimata,31.3,23.2,36.2,9.3,100,17166,Nyaruguru,45.5,22.35,135.04204452076283,7810.53,61.44413025694708
2.0,Southern Province,23.0,Nyaruguru,2311.0,Nyagisozi,34.99600647296147,nyagisozi,Nyagisozi,30.4,29.2,32.1,8.2,100,28846,Nyanza,40.3,21.790000000000003,824.2654778992262,11624.937999999998,332.1789875933881
2.0,Southern Province,23.0,Nyaruguru,2311.0,Nyagisozi,34.99600647296147,nyagisozi,Nyagisozi,48.1,18.7,28.5,4.8,100,18554,Nyaruguru,33.3,19.02,530.1747790661528,6178.482,176.5482014290289
2.0,Southern Province,23.0,Nyaruguru,2312.0,Ruheru,106.32770563655527,ruheru,Ruheru,33.0,24.0,32.7,10.3,100,24408,Nyaruguru,43.0,22.03,229.55446893051905,10495.44,98.70842164012319
2.0,Southern Province,23.0,Nyaruguru,2313.0,Ruramba,49.03491443109796,ruramba,Ruramba,37.9,27.1,28.8,6.2,100,17294,Nyaruguru,35.0,20.330000000000002,352.6874717870852,6052.9,123.44061512547982
2.0,Southern Province,23.0,Nyaruguru,2314.0,Rusenge,59.866176324082105,rusenge,Rusenge,27.9,28.8,33.3,10.0,100,25099,Nyaruguru,43.3,22.54,419.2517635355231,10867.867,181.5360136108815
2.0,Southern Province,24.0,Huye,2401.0,Gishamvu,22.4742664922094,gishamvu,Gishamvu,40.8,22.9,29.3,7.1,100,14967,Huye,36.4,20.290000000000003,665.9616679898426,5447.987999999999,242.41004714830268
2.0,Southern Province,24.0,Huye,2402.0,Huye,35.453394235472224,huye,Huye,48.8,22.0,22.0,7.2,100,29738,Huye,29.2,18.76,838.7913383550228,8683.496,244.92707079966667
2.0,Southern Province,24.0,Huye,2403.0,Karama,53.144487004958954,karama,Karama,38.5,30.3,26.1,5.2,100,17802,Huye,31.3,19.82,334.97359751236064,5572.026,104.84673602136887
2.0,Southern Province,24.0,Huye,2403.0,Karama,53.144487004958954,karama,Karama,50.3,25.5,21.6,2.7,100,21261,Kamonyi,24.3,17.69,400.06031101619476,5166.423,97.21465557693533
